college_name,state,cost_of_attendance,out_of_state_tuition_premium,tuition_free_threshold,average_aid_percentage,endowment_size,requires_css_profile,net_price_0_30k,net_price_30k_48k,net_price_48k_75k,net_price_75k_110k,net_price_110k_plus
Brandeis University,MA,86448,0,0,,,True,13363.0,15135.0,20536.0,26784.0,54885.0
Brenau University,GA,46010,0,0,,,True,19481.0,17379.0,18420.0,18279.0,20426.0
Brescia University,KY,44328,0,0,,,True,8977.0,9343.0,12984.0,8910.0,5548.0
Brevard College,NC,47288,0,0,,,True,19294.0,23532.0,21304.0,25337.0,28763.0
Briar Cliff University,IA,51493,0,0,,,True,17764.0,14604.0,25516.0,30156.0,27328.0
Bridges Christian College,LA,14180,0,0,,,True,10183.0,11715.0,,,
Bridgewater College,VA,58702,0,0,,,True,13283.0,12468.0,15046.0,20582.0,21448.0
Bridgewater State University,MA,26160,6140,0,,,False,10007.0,11579.0,13559.0,16904.0,21176.0
Brigham Young University,UT,22690,0,0,,,True,10444.0,10112.0,13062.0,16378.0,20542.0
Brigham Young University-Hawaii,HI,25098,0,0,,,True,11623.0,21255.0,15993.0,17155.0,22582.0
Brown University,RI,87648,0,0,,,True,0.0,2031.0,5858.0,16219.0,44937.0
Bryan College of Health Sciences,NE,32845,0,0,,,True,23196.0,25806.0,24353.0,31262.0,29816.0
Bryan College-Dayton,TN,31270,0,0,,,True,19500.0,19904.0,21807.0,20655.0,21035.0
Bryant & Stratton College-Syracuse North,NY,25249,0,0,,,True,15369.0,10504.0,,,
Bryant University,RI,69964,0,0,,,True,32698.0,34055.0,36130.0,39680.0,44846.0
Bryn Athyn College of the New Church,PA,41093,0,0,,,True,13271.0,18355.0,24368.0,20581.0,23565.0
Bryn Mawr College,PA,83250,0,0,,,True,11017.0,18457.0,17262.0,19330.0,40085.0
Bucknell University,PA,83756,0,0,,,True,20980.0,12276.0,23679.0,28165.0,55724.0
Buena Vista University,IA,54222,0,0,,,True,12901.0,14838.0,18094.0,19571.0,24967.0
Bushnell University,OR,47143,0,0,,,True,17924.0,21033.0,12656.0,22084.0,23361.0
Butler University,IN,65970,0,0,,,True,25278.0,25696.0,32679.0,36778.0,41134.0
CUNY Bernard M Baruch College,NY,14170,7950,0,,,False,607.0,2052.0,6312.0,8623.0,12314.0
CUNY Brooklyn College,NY,14151,7950,0,,,False,1029.0,2287.0,6193.0,8917.0,12254.0
CUNY City College,NY,14403,7950,0,,,False,1251.0,2990.0,6811.0,9982.0,12806.0
CUNY Hunter College,NY,13905,7950,0,,,False,1029.0,1935.0,6003.0,8810.0,12259.0
CUNY John Jay College of Criminal Justice,NY,14212,7950,0,,,False,1073.0,2506.0,6760.0,8427.0,13292.0
CUNY Lehman College,NY,14121,7950,0,,,False,1589.0,2374.0,6834.0,9696.0,13600.0
CUNY Medgar Evers College,NY,14771,7950,0,,,False,4368.0,5547.0,8661.0,10131.0,14006.0
CUNY New York City College of Technology,NY,14110,7950,0,,,False,3810.0,4606.0,7886.0,9809.0,13043.0
CUNY Queens College,NY,14367,7950,0,,,False,1541.0,3133.0,6785.0,9110.0,12700.0
CUNY York College,NY,14330,7950,0,,,False,2861.0,4161.0,7426.0,9383.0,12520.0
Cairn University-Langhorne,PA,46233,0,0,,,True,24029.0,23867.0,26050.0,26309.0,33129.0
Cal Poly Maritime Academy,CA,29853,12600,0,,,False,13552.0,9768.0,16948.0,21257.0,24911.0
Caldwell University,NJ,54073,0,0,,,True,18059.0,18000.0,22793.0,31425.0,30449.0
California Aeronautical University,CA,46233,0,0,,,True,35535.0,28863.0,35669.0,39250.0,43076.0
California Baptist University,CA,54038,0,0,,,True,22298.0,21941.0,22620.0,26179.0,33971.0
California College of the Arts,CA,79776,0,0,,,True,61407.0,43261.0,45378.0,46060.0,56394.0
California Institute of Technology,CA,86886,0,0,,,True,0.0,0.0,431.0,18753.0,54157.0
California Institute of the Arts,CA,77560,0,0,,,True,26686.0,40899.0,51847.0,38627.0,58873.0
California Lutheran University,CA,68426,0,0,,,True,22161.0,23668.0,24318.0,29303.0,38364.0
California Miramar University,CA,19067,0,0,,,True,9131.0,15369.0,17425.0,16995.0,17467.0
California Polytechnic State University-San Luis Obispo,CA,32265,21069,0,,,False,7529.0,7253.0,9896.0,15786.0,27772.0
California State Polytechnic University-Humboldt,CA,25170,12600,0,,,False,8483.0,8812.0,11088.0,15593.0,22228.0
California State Polytechnic University-Pomona,CA,23955,12600,0,,,False,7851.0,8433.0,10734.0,13894.0,20716.0
California State University-Bakersfield,CA,19522,12600,0,,,False,3536.0,3817.0,5835.0,9480.0,16069.0
California State University-Channel Islands,CA,23561,12600,0,,,False,6857.0,7083.0,9083.0,12286.0,20473.0
California State University-Chico,CA,26283,12600,0,,,False,9902.0,10099.0,12961.0,16506.0,23566.0
California State University-Dominguez Hills,CA,23191,12600,0,,,False,7303.0,8090.0,8855.0,12323.0,18947.0
California State University-East Bay,CA,22850,12600,0,,,False,6360.0,7031.0,8990.0,12015.0,19397.0
California State University-Fresno,CA,20095,12600,0,,,False,5105.0,5429.0,7196.0,10291.0,16899.0
California State University-Fullerton,CA,18269,12600,0,,,False,3315.0,4123.0,6090.0,8930.0,15631.0
California State University-Long Beach,CA,22679,12600,0,,,False,7183.0,7831.0,9705.0,12630.0,19750.0
California State University-Los Angeles,CA,18403,12600,0,,,False,2877.0,2974.0,5002.0,7355.0,13578.0
California State University-Monterey Bay,CA,26987,12600,0,,,False,9970.0,9981.0,12440.0,16281.0,22818.0
California State University-Northridge,CA,20485,12600,0,,,False,4905.0,5450.0,7744.0,11262.0,18040.0
California State University-Sacramento,CA,22945,12600,0,,,False,6501.0,7001.0,9212.0,11814.0,18861.0
California State University-San Bernardino,CA,17427,12600,0,,,False,2681.0,2680.0,4735.0,7745.0,14316.0
California State University-San Marcos,CA,21649,12600,0,,,False,6230.0,7240.0,8928.0,12525.0,18734.0
California State University-Stanislaus,CA,19739,12600,0,,,False,3938.0,4467.0,5947.0,9230.0,16810.0
Calumet College of Saint Joseph,IN,32968,0,0,,,True,21381.0,22931.0,22877.0,23358.0,24970.0
Calvary University,MO,23938,0,0,,,True,16764.0,15734.0,21115.0,16666.0,13749.0
Calvin University,MI,54222,0,0,,,True,19281.0,18330.0,19447.0,21128.0,26713.0
Cameron University,OK,19862,9420,0,,,False,8752.0,10555.0,11919.0,16504.0,15808.0
Campbell University,NC,62187,0,0,,,True,20751.0,20981.0,19979.0,26959.0,30864.0
